Scientific Name|Common Name|Type|Zone|When it Blooms|Where to Grow|Soil Type|When to Divide|Habit|Scent|Attracts|Resists|Maturity Rate|Long Lived or Short Lived|Something Special or Unique|Images|Year(s) Sold

Achillea millefolium 'Colorado Pastels'|Yarrow, Colorado Pastels|Perennial|3-8|June-July (Early to mid summer)|Full Sun|Poor to average soil, well-draining, low water needs, drought resistant|In spring every 3-5 years|Height: 24”, Spread: 24”, Clumping, spreads by above ground or shallow rhizomes about 3-6 inches per year|Sweet|Butterflies and bees|Deer and rabbits|Rapid maturity, will flower first year|Long lived|Host for Painted Lady Butterfly.  Blooms 8 weeks or longer||2018
Achillea millefolium 'Cerise Queen'|Yarrow, Cerise Queen|Perennial|3-8|June-July (Early to mid summer)|Full Sun|Poor to average soil, well-draining, low water needs, drought resistant|In spring every 3-5 years|Height: 24”, Spread: 24”, Clumping, spreads by above ground or shallow rhizomes about 3-6 inches per year|Sweet|Butterflies|Deer and rabbits|Rapid maturity, will flower first year|Long lived|Host for Painted Lady Butterfly.  Blooms 8 weeks or longer||2020
Achillea ptarmica fl. pl. 'Noblessa'|Yarrow, Noblessa|Perennial|3-9|June-September|Full sun, partial shade|Average, dry to medium, well-drained soil, will tolerate poor soils as long as drainage is good. Avoid heavy clays and moist, rich soils.|Divide clumps every 3-5 years|Height: 18"-24", Spread: 18"-24", Clumping, spreads by above ground or shallow rhizomes about 3-6 inches per year|Sweet|Hoverflies, bees, butterflies|Deer and rabbits|Will flower second year, may flower first year|Long lived|Achilles, hero of the Trojan Wars in Greece, used the plant medicinally to stop the bleeding and heal one of his soldiers.  Its specific epithet, ptarmica, refers to how it causes sneezing.||2024
Achillea ptarmica 'Pearl-Group'|Sneezewort|Perennial|3-9|June-September|Full sun, partial shade|Average, dry to medium, well-drained soil, will tolerate poor soils as long as drainage is good. Avoid heavy clays and moist, rich soils.|Divide clumps every 3-5 years|Height: 18"-24", Spread: 18"-24", Clumping, spreads by above ground or shallow rhizomes about 3-6 inches per year|Sweet|Hoverflies, bees, butterflies|Deer and rabbits|Will flower second year, may flower first year|Long lived|Achilles, hero of the Trojan Wars in Greece, used the plant medicinally to stop the bleeding and heal one of his soldiers.  Its specific epithet, ptarmica, refers to how it causes sneezing.||
Achillea sibirica ssp. camtschatica 'Love Parade'|Siberian Yarrow|Perennial|4-8|June-September (Early summer to early fall)|Full Sun|Poor to average soil, well-draining, low water needs, drought resistant||Height: 12”-30", Spread: 12”-24", Clumping, spreads by above ground or shallow rhizomes about 3-6 inches per year|Chamomile-pine|Butterflies|Deer and rabbits|Rapid maturity, will flower first year|Long lived|Host for Painted Lady Butterfly.  Blooms through the entire summer with showy, soft pink flowers.||2022
Agastache foeniculum|Blue Delight|Perennial|4-8|June-September|Full sun, partial shade|Well draining, drought resistant|Early spring (April)|Height: 36, Spread: 12”-24”, Clumping, occasionally reseeds|Licorice, but sweeter|Butterflies and Hummingbirds|Deer and rabbits|Flowers first year, small first year. Reaches full size second year|Long Lived, seeds collected from zone 4 garden|Pinch back in Late June for more lush plants. Flowers are darker purple during cooler temperatures.  Native plant|Agastache foeniculum:Agastache foeniculum Seedling|2018, 2021, 2024
Agastache rupestris|Apache Sunset|Perennial|5-8|June-July|Full sun|Well draining, drought resistant|Resents division|Height: 24” (36” with flower stalk), Spread: 12”-24”, Clumping, occasionally reseeds|Hint of root beer|Butterflies and Hummingbirds|Deer and rabbits|Flowers first year, small first year. Reaches full size second year|Long lived|Flowers edible, very sweet, leaves edible with hints of licorice and root beer. Does not like wet winter soil, mulch to help winter over, do not trim back until late spring-old wood helps protect crown for the winter||2018
Allium|Chives|Perennial herb|4-8|May-June|Full sun, partial sun|Average, dry-medium moisture, well draining soils.  Drought resistant|Spring (May)|Height: ", Spread: ”-”, Clumping|Onion||Deer and rabbits|Small first year. Will begin to spread second or third year|Long Lived|Their genus name is the Latin word for garlic.  Chives leaves can be harvested and cut in rings to be put on food.  They are especially good in Mexican food, or in omelets.||2022
Amorpha canescens|Leadplant|Perennial|2-9|July-September|Full sun|Average, dry-medium soil must be well-drained.  It appreciates sandy, poor, dry soils.|Do not divide and do not move.|Height: 24-36",  Spread: 24-30", Deciduous shrub||Birds, butterflies|Deer and rabbits|Will be very large second or third year.  Make sure to mark clearly.|Long lived|Native plant.  This plant is best used by experienced gardeners.  It will take a few years to get to its full size, as it's currently developing its root system.  It will get very large and can be used to naturalize an area.  It does tolerate drought and erosion.||2024
